Timestamp,Người chơi 1,Race 1,Map,Kết quá,Người chơi 2,Race 2
10/5/2024 8:44:39,Lancelot,HU,Hammerfall,Thắng,TriBui,HU
10/5/2024 8:50:17,SieuTitMit,Orc,Hammerfall,Thua,TriBui,HU
10/5/2024 9:01:24,SieuTitMit,UD,Amazonia,Thua,TriBui,HU
10/5/2024 9:08:46,Lancelot,HU,Echo Isles,Thắng,SieuTitMit,UD
10/5/2024 9:18:36,Lancelot,UD,Amazonia,Thua,SieuTitMit,Orc
10/5/2024 9:25:27,Lancelot,HU,Hammerfall,Thắng,SieuTitMit,Orc
10/5/2024 15:11:23,Ichiban,Orc,Northern Isles,Thắng,Metallica,NE
10/5/2024 9:48:13,Ichiban,Orc,Last Refuge,Thắng,Metallica,NE
10/5/2024 10:09:36,Metallica,NE,Concealed Hill,Thắng,TriBui,HU
10/5/2024 14:57:58,Metallica,NE,Echo Isles,Thua,TriBui,HU
10/5/2024 10:15:48,Metallica,NE,Hammerfall,Thua,TriBui,HU
10/5/2024 13:43:24,Wisdom,NE,Echo Isles,Thua,TriBui,HU
10/5/2024 13:46:36,Wisdom,NE,Northern Isles,Thua,TriBui,HU
10/5/2024 14:46:38,Wisdom,NE,Concealed Hill,Thắng,TrungHoang,NE
10/5/2024 14:47:01,Wisdom,NE,Echo Isles,Thua,TrungHoang,NE
10/5/2024 14:47:20,Wisdom,NE,Northern Isles,Thua,TrungHoang,NE
10/5/2024 16:09:37,Wisdom,NE,Echo Isles,Thua,Singlez,UD
10/5/2024 16:10:32,Wisdom,NE,Northern Isles,Thua,Singlez,UD
10/5/2024 16:24:31,longnt,Orc,Concealed Hill,Thắng,Kingtruong,HU
10/5/2024 16:32:26,longnt,HU,Last Refuge,Thắng,Kingtruong,HU
10/5/2024 20:20:22,osho,NE,Echo Isles,Thắng,Fervis,UD
10/5/2024 20:26:32,osho,NE,Last Refuge,Thắng,Fervis,UD
10/5/2024 20:39:19,Ichiban,Orc,Concealed Hill,Thắng,dailygao,Orc
